"USERNAME","TABLE_NAME","INSTALL_TYPE","ORDER_BY_COLUMNS","BEFORE_SELECT_SQL","WHERE_CLAUSE","AFTER_ORDER_BY_SQL","NOTES"
"CLUE","CARDS_ACT","ntcldat","GAMES_NK1, GAMES_NK2, NAME",,"games_nk1 = 'Default'",,
"CLUE","CARD_TYPES_ACT","ntcldat","USERS_NK1, NAME",,"users_nk1 = 'Default'",,
"CLUE","GAMES_ACT","ntcldat","USERS_NK1, NAME",,"users_nk1 = 'Default'",,
"CLUE","PLAYERS_ACT","ntcldat","GAMES_NK1, GAMES_NK2",,"games_nk1 = 'Default'",,
"CLUE","USERS_ACT","ntcldat","NAME",,"name = 'Default'",,
"ODBCAPTURE","DLOAD_CONF","ntclgrb","USERNAME, TABLE_NAME, INSTALL_TYPE",,"install_type in ('ntclsrc','ntcldat','ntclgrb')",,
"ODBCAPTURE","OBJECT_CONF","ntclgrb","USERNAME, INSTALL_OTYPE, INSTALL_TYPE",,"install_type in ('ntclsrc','ntcldat','ntclgrb')",,
"ODBCAPTURE","ROLE_CONF","ntclgrb","ROLENAME, INSTALL_TYPE",,"install_type in ('ntclsrc','ntcldat','ntclgrb')",,
"ODBCAPTURE","SCHEMA_CONF","ntclgrb","USERNAME",,"install_type in ('ntclsrc','ntcldat','ntclgrb')",,
"ODBCAPTURE","TSPACE_CONF","ntclgrb","USERNAME, TSPACE_NAME",,"username in (select username from schema_conf where install_type in ('ntclsrc','ntcldat','ntclgrb'))",,
"ODBCAPTURE","TYPE_CONF","ntclgrb","TYPE_SEQ",,"type_seq > 0",,
"ODBCAPTURE","TYPE_PATH","ntclgrb","PARENT_TYPE_SEQ, TYPE_SEQ",,"type_seq > 0",,
